author,year,journal,species,variable,magnitude,i_units,d-variable,value,d_units,unitlessValue_old,,unitlessValue
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,Temp,10.0098360655737,C,Ucrit,0.389802631578947,m/s,0.202964585687972,0.295968611028536,0.060071146514051
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,Temp,14.9868852459016,C,Ucrit,0.568421052631578,m/s,1,0.443128896498999,0.443128896498999
Myrick,2000,Enviro Bio Fish,Sac Pikeminnow,Temp,19.9819672131147,C,Ucrit,0.499342105263157,m/s,0.878472222222222,0.590822371409571,0.519021041550769
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,5.91501955496906,C,Dig Eff,0.020798789408761,NA,0.045642546199681,0.174893985318278,0.007982606804936
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,5.9133939585186,C,Dig Eff,0.026358329269342,NA,0.057842850262987,0.174845920043245,0.010113586372156
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,5.93921225508476,C,Dig Eff,0.050559755013053,NA,0.110952416925561,0.175609309705548,0.01948427734646
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,9.86005527027931,C,Dig Eff,0.028776643047707,NA,0.063149793671328,0.291539925718244,0.018410686156062
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,9.94468190902397,C,Dig Eff,0.076853538540979,NA,0.168653622791528,0.294042147389128,0.049591273410577
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,9.83624506344607,C,Dig Eff,0.110207550417395,NA,0.241848364951509,0.290835910807454,0.070338189497966
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,15.0077454889698,C,Dig Eff,0.198676095126079,NA,0.435990896986751,0.443745687535951,0.193469080342802
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,14.9385142048442,C,Dig Eff,0.210447086835537,NA,0.461822113523262,0.44169867229333,0.203986214378924
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,14.901029863163,C,Dig Eff,0.226143535385409,NA,0.496267670138526,0.440590343598431,0.218650743303126
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,19.9162817828011,C,Dig Eff,0.286481970222897,NA,0.628679213212587,0.588880199185433,0.37021674030037
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,19.9082494238694,C,Dig Eff,0.313952637769299,NA,0.688963068584217,0.588642700179383,0.405553081015287
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,23.4394274075561,C,Dig Eff,0.387323933560916,NA,0.849974976156525,0.693051787029538,0.589076676155668
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,23.540405634126,C,Dig Eff,0.379478398691872,NA,0.832758099698768,0.69603748881988,0.579630856508746
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,19.8533616378362,C,Dig Eff,0.38916886600304,NA,0.854023645171341,0.58701979030471,0.501328781103744
Steigenberger,1973,J. Fish Re. B. Can.,N Pikeminnow,Temp,23.8799640456314,C,Dig Eff,0.455688631343412,NA,1,0.706077476563731,0.706077476563731
Beamish,1970,Can J Zoo,Largemouth B.,Temp,10.1548053045913,C,Met,194.426732540609,mg/kg/h,0.379949984105062,0.300255029310796,0.114081893614102
Beamish,1970,Can J Zoo,Largemouth B.,Temp,14.8858773181169,C,Met,244.679034193924,mg/kg/h,0.478153358532659,0.440142316509729,0.210455526871472
Beamish,1970,Can J Zoo,Largemouth B.,Temp,20.2476620700586,C,Met,318.360970523191,mg/kg/h,0.622143077288479,0.598678377966717,0.372463608374288
Beamish,1970,Can J Zoo,Largemouth B.,Temp,24.5844560680509,C,Met,393.284186750614,mg/kg/h,0.768558513287043,0.726907740315331,0.558671132193595
Beamish,1970,Can J Zoo,Largemouth B.,Temp,29.9462408199926,C,Met,511.71664870197,mg/kg/h,1,0.885443801772319,0.885443801772319
Beamish,1970,Can J Zoo,Largemouth B.,Temp,33.8206002007713,C,Met,459.092013610482,mg/kg/h,0.897160596152233,1,0.897160596152233
